"TIME","GEO","UNIT","WORKTIME","SECTOR","SEX","ISCED11","Value","Flag and Footnotes"
"2013","Belgium","Number","Total","Total","Total","Bachelor's or equivalent level","364,202","d"
"2013","Belgium","Number","Total","Total","Total","Master's or equivalent level","85,553",""
"2013","Belgium","Number","Total","Total","Total","Doctoral or equivalent level","14,610",""
"2013","Bulgaria","Number","Total","Total","Total","Bachelor's or equivalent level","195,637",""
"2013","Bulgaria","Number","Total","Total","Total","Master's or equivalent level","82,951",""
"2013","Bulgaria","Number","Total","Total","Total","Doctoral or equivalent level","5,371",""
"2013","Czech Republic","Number","Total","Total","Total","Bachelor's or equivalent level","267,731",""
"2013","Czech Republic","Number","Total","Total","Total","Master's or equivalent level","133,524",""
"2013","Czech Republic","Number","Total","Total","Total","Doctoral or equivalent level","25,194",""
"2013","Denmark","Number","Total","Total","Total","Bachelor's or equivalent level","182,281",""
"2013","Denmark","Number","Total","Total","Total","Master's or equivalent level","67,546",""
"2013","Denmark","Number","Total","Total","Total","Doctoral or equivalent level","9,628",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Bachelor's or equivalent level","1,635,907",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Master's or equivalent level","930,366",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Doctoral or equivalent level","213,200",""
"2013","Estonia","Number","Total","Total","Total","Bachelor's or equivalent level","44,758",""
"2013","Estonia","Number","Total","Total","Total","Master's or equivalent level","17,004",""
"2013","Estonia","Number","Total","Total","Total","Doctoral or equivalent level","3,044",""
"2013","Ireland","Number","Total","Total","Total","Bachelor's or equivalent level","121,210",""
"2013","Ireland","Number","Total","Total","Total","Master's or equivalent level","28,429",""
"2013","Ireland","Number","Total","Total","Total","Doctoral or equivalent level","8,171",""
"2013","Greece","Number","Total","Total","Total","Bachelor's or equivalent level","588,201",""
"2013","Greece","Number","Total","Total","Total","Master's or equivalent level",":",""
"2013","Greece","Number","Total","Total","Total","Doctoral or equivalent level","23,011",""
"2013","Spain","Number","Total","Total","Total","Bachelor's or equivalent level","1,085,012",""
"2013","Spain","Number","Total","Total","Total","Master's or equivalent level","514,369",""
"2013","Spain","Number","Total","Total","Total","Doctoral or equivalent level","23,650",""
"2013","France","Number","Total","Total","Total","Bachelor's or equivalent level","931,748",""
"2013","France","Number","Total","Total","Total","Master's or equivalent level","831,956",""
"2013","France","Number","Total","Total","Total","Doctoral or equivalent level","69,535",""
"2013","Croatia","Number","Total","Total","Total","Bachelor's or equivalent level","102,795","d"
"2013","Croatia","Number","Total","Total","Total","Master's or equivalent level","58,196",""
"2013","Croatia","Number","Total","Total","Total","Doctoral or equivalent level","3,632",""
"2013","Italy","Number","Total","Total","Total","Bachelor's or equivalent level","1,108,260",""
"2013","Italy","Number","Total","Total","Total","Master's or equivalent level","727,019",""
"2013","Italy","Number","Total","Total","Total","Doctoral or equivalent level","34,928",""
"2013","Cyprus","Number","Total","Total","Total","Bachelor's or equivalent level","19,990",""
"2013","Cyprus","Number","Total","Total","Total","Master's or equivalent level","7,896",""
"2013","Cyprus","Number","Total","Total","Total","Doctoral or equivalent level","829",""
"2013","Latvia","Number","Total","Total","Total","Bachelor's or equivalent level","63,274",""
"2013","Latvia","Number","Total","Total","Total","Master's or equivalent level","11,333",""
"2013","Latvia","Number","Total","Total","Total","Doctoral or equivalent level","2,519",""
"2013","Lithuania","Number","Total","Total","Total","Bachelor's or equivalent level","124,519",""
"2013","Lithuania","Number","Total","Total","Total","Master's or equivalent level","32,495",""
"2013","Lithuania","Number","Total","Total","Total","Doctoral or equivalent level","2,681",""
"2013","Luxembourg","Number","Total","Total","Total","Bachelor's or equivalent level",":",""
"2013","Luxembourg","Number","Total","Total","Total","Master's or equivalent level",":",""
"2013","Luxembourg","Number","Total","Total","Total","Doctoral or equivalent level",":",""
"2013","Hungary","Number","Total","Total","Total","Bachelor's or equivalent level","237,647",""
"2013","Hungary","Number","Total","Total","Total","Master's or equivalent level","77,043",""
"2013","Hungary","Number","Total","Total","Total","Doctoral or equivalent level","7,332",""
"2013","Malta","Number","Total","Total","Total","Bachelor's or equivalent level","6,914",""
"2013","Malta","Number","Total","Total","Total","Master's or equivalent level","3,116",""
"2013","Malta","Number","Total","Total","Total","Doctoral or equivalent level","78",""
"2013","Netherlands","Number","Total","Total","Total","Bachelor's or equivalent level",":",""
"2013","Netherlands","Number","Total","Total","Total","Master's or equivalent level",":",""
"2013","Netherlands","Number","Total","Total","Total","Doctoral or equivalent level","13,631",""
"2013","Austria","Number","Total","Total","Total","Bachelor's or equivalent level","180,234",""
"2013","Austria","Number","Total","Total","Total","Master's or equivalent level","140,087",""
"2013","Austria","Number","Total","Total","Total","Doctoral or equivalent level","25,657",""
"2013","Poland","Number","Total","Total","Total","Bachelor's or equivalent level","1,266,471",""
"2013","Poland","Number","Total","Total","Total","Master's or equivalent level","583,045",""
"2013","Poland","Number","Total","Total","Total","Doctoral or equivalent level","42,295",""
"2013","Portugal","Number","Total","Total","Total","Bachelor's or equivalent level","231,528",""
"2013","Portugal","Number","Total","Total","Total","Master's or equivalent level","120,001",""
"2013","Portugal","Number","Total","Total","Total","Doctoral or equivalent level","19,471",""
"2013","Romania","Number","Total","Total","Total","Bachelor's or equivalent level","409,606",""
"2013","Romania","Number","Total","Total","Total","Master's or equivalent level","187,195",""
"2013","Romania","Number","Total","Total","Total","Doctoral or equivalent level","21,356",""
"2013","Slovenia","Number","Total","Total","Total","Bachelor's or equivalent level","54,865",""
"2013","Slovenia","Number","Total","Total","Total","Master's or equivalent level","25,829",""
"2013","Slovenia","Number","Total","Total","Total","Doctoral or equivalent level","3,606",""
"2013","Slovakia","Number","Total","Total","Total","Bachelor's or equivalent level","120,806",""
"2013","Slovakia","Number","Total","Total","Total","Master's or equivalent level","74,912",""
"2013","Slovakia","Number","Total","Total","Total","Doctoral or equivalent level","10,953",""
"2013","Finland","Number","Total","Total","Total","Bachelor's or equivalent level","228,273",""
"2013","Finland","Number","Total","Total","Total","Master's or equivalent level","60,051",""
"2013","Finland","Number","Total","Total","Total","Doctoral or equivalent level","20,593",""
"2013","Sweden","Number","Total","Total","Total","Bachelor's or equivalent level","252,980",""
"2013","Sweden","Number","Total","Total","Total","Master's or equivalent level","136,075",""
"2013","Sweden","Number","Total","Total","Total","Doctoral or equivalent level","21,512",""
"2013","United Kingdom","Number","Total","Total","Total","Bachelor's or equivalent level","1,526,720",""
"2013","United Kingdom","Number","Total","Total","Total","Master's or equivalent level","423,592",""
"2013","United Kingdom","Number","Total","Total","Total","Doctoral or equivalent level","109,058",""
"2013","Iceland","Number","Total","Total","Total","Bachelor's or equivalent level","13,768",""
"2013","Iceland","Number","Total","Total","Total","Master's or equivalent level","4,407",""
"2013","Iceland","Number","Total","Total","Total","Doctoral or equivalent level","470",""
"2013","Liechtenstein","Number","Total","Total","Total","Bachelor's or equivalent level","528",""
"2013","Liechtenstein","Number","Total","Total","Total","Master's or equivalent level","234",""
"2013","Liechtenstein","Number","Total","Total","Total","Doctoral or equivalent level","83",""
"2013","Norway","Number","Total","Total","Total","Bachelor's or equivalent level","181,937",""
"2013","Norway","Number","Total","Total","Total","Master's or equivalent level","56,289",""
"2013","Norway","Number","Total","Total","Total","Doctoral or equivalent level","7,407",""
"2013","Switzerland","Number","Total","Total","Total","Bachelor's or equivalent level","186,338",""
"2013","Switzerland","Number","Total","Total","Total","Master's or equivalent level","59,983",""
"2013","Switzerland","Number","Total","Total","Total","Doctoral or equivalent level","22,716",""
"2013","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Bachelor's or equivalent level","56,906",""
"2013","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Master's or equivalent level","3,550",""
"2013","Former Yugoslav Republic of Macedonia, the","Number","Total","Total","Total","Doctoral or equivalent level","226",""
"2013","Serbia","Number","Total","Total","Total","Bachelor's or equivalent level","198,452",""
"2013","Serbia","Number","Total","Total","Total","Master's or equivalent level","34,212",""
"2013","Serbia","Number","Total","Total","Total","Doctoral or equivalent level","6,281",""
"2013","Turkey","Number","Total","Total","Total","Bachelor's or equivalent level","3,052,671","d"
"2013","Turkey","Number","Total","Total","Total","Master's or equivalent level","314,819","d"
"2013","Turkey","Number","Total","Total","Total","Doctoral or equivalent level","80,494",""
"2014","Belgium","Number","Total","Total","Total","Bachelor's or equivalent level","362,780",""
"2014","Belgium","Number","Total","Total","Total","Master's or equivalent level","92,959",""
"2014","Belgium","Number","Total","Total","Total","Doctoral or equivalent level","15,604",""
"2014","Bulgaria","Number","Total","Total","Total","Bachelor's or equivalent level","191,416",""
"2014","Bulgaria","Number","Total","Total","Total","Master's or equivalent level","85,823",""
"2014","Bulgaria","Number","Total","Total","Total","Doctoral or equivalent level","6,055",""
"2014","Czech Republic","Number","Total","Total","Total","Bachelor's or equivalent level","256,329",""
"2014","Czech Republic","Number","Total","Total","Total","Master's or equivalent level","136,207",""
"2014","Czech Republic","Number","Total","Total","Total","Doctoral or equivalent level","25,090",""
"2014","Denmark","Number","Total","Total","Total","Bachelor's or equivalent level","187,902",""
"2014","Denmark","Number","Total","Total","Total","Master's or equivalent level","70,168",""
"2014","Denmark","Number","Total","Total","Total","Doctoral or equivalent level","9,869",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Bachelor's or equivalent level","1,734,827",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Master's or equivalent level","962,201",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Total","Doctoral or equivalent level","214,700",""
"2014","Estonia","Number","Total","Total","Total","Bachelor's or equivalent level","40,539",""
"2014","Estonia","Number","Total","Total","Total","Master's or equivalent level","16,477",""
"2014","Estonia","Number","Total","Total","Total","Doctoral or equivalent level","2,982",""
"2014","Ireland","Number","Total","Total","Total","Bachelor's or equivalent level","154,294",""
"2014","Ireland","Number","Total","Total","Total","Master's or equivalent level","23,690",""
"2014","Ireland","Number","Total","Total","Total","Doctoral or equivalent level","7,965",""
"2014","Greece","Number","Total","Total","Total","Bachelor's or equivalent level","598,990",""
"2014","Greece","Number","Total","Total","Total","Master's or equivalent level","54,558",""
"2014","Greece","Number","Total","Total","Total","Doctoral or equivalent level","23,881",""
"2014","Spain","Number","Total","Total","Total","Bachelor's or equivalent level","1,180,345",""
"2014","Spain","Number","Total","Total","Total","Master's or equivalent level","411,451",""
"2014","Spain","Number","Total","Total","Total","Doctoral or equivalent level","24,317",""
"2014","France","Number","Total","Total","Total","Bachelor's or equivalent level","961,447",""
"2014","France","Number","Total","Total","Total","Master's or equivalent level","854,784",""
"2014","France","Number","Total","Total","Total","Doctoral or equivalent level","68,938",""
"2014","Croatia","Number","Total","Total","Total","Bachelor's or equivalent level","103,168",""
"2014","Croatia","Number","Total","Total","Total","Master's or equivalent level","59,567",""
"2014","Croatia","Number","Total","Total","Total","Doctoral or equivalent level","3,219",""
"2014","Italy","Number","Total","Total","Total","Bachelor's or equivalent level","1,090,764",""
"2014","Italy","Number","Total","Total","Total","Master's or equivalent level","724,883",""
"2014","Italy","Number","Total","Total","Total","Doctoral or equivalent level","33,512",""
"2014","Cyprus","Number","Total","Total","Total","Bachelor's or equivalent level","19,779",""
"2014","Cyprus","Number","Total","Total","Total","Master's or equivalent level","10,009",""
"2014","Cyprus","Number","Total","Total","Total","Doctoral or equivalent level","929",""
"2014","Latvia","Number","Total","Total","Total","Bachelor's or equivalent level","57,955",""
"2014","Latvia","Number","Total","Total","Total","Master's or equivalent level","12,257",""
"2014","Latvia","Number","Total","Total","Total","Doctoral or equivalent level","2,406",""
"2014","Lithuania","Number","Total","Total","Total","Bachelor's or equivalent level","113,881",""
"2014","Lithuania","Number","Total","Total","Total","Master's or equivalent level","31,822",""
"2014","Lithuania","Number","Total","Total","Total","Doctoral or equivalent level","2,686",""
"2014","Luxembourg","Number","Total","Total","Total","Bachelor's or equivalent level",":",""
"2014","Luxembourg","Number","Total","Total","Total","Master's or equivalent level",":",""
"2014","Luxembourg","Number","Total","Total","Total","Doctoral or equivalent level",":",""
"2014","Hungary","Number","Total","Total","Total","Bachelor's or equivalent level","228,535",""
"2014","Hungary","Number","Total","Total","Total","Master's or equivalent level","73,473",""
"2014","Hungary","Number","Total","Total","Total","Doctoral or equivalent level","7,347",""
"2014","Malta","Number","Total","Total","Total","Bachelor's or equivalent level","6,933",""
"2014","Malta","Number","Total","Total","Total","Master's or equivalent level","3,420",""
"2014","Malta","Number","Total","Total","Total","Doctoral or equivalent level","95",""
"2014","Netherlands","Number","Total","Total","Total","Bachelor's or equivalent level",":",""
"2014","Netherlands","Number","Total","Total","Total","Master's or equivalent level",":",""
"2014","Netherlands","Number","Total","Total","Total","Doctoral or equivalent level","13,849",""
"2014","Austria","Number","Total","Total","Total","Bachelor's or equivalent level","179,406",""
"2014","Austria","Number","Total","Total","Total","Master's or equivalent level","139,697",""
"2014","Austria","Number","Total","Total","Total","Doctoral or equivalent level","24,579",""
"2014","Poland","Number","Total","Total","Total","Bachelor's or equivalent level","1,172,637",""
"2014","Poland","Number","Total","Total","Total","Master's or equivalent level","540,868",""
"2014","Poland","Number","Total","Total","Total","Doctoral or equivalent level","43,358",""
"2014","Portugal","Number","Total","Total","Total","Bachelor's or equivalent level","220,859",""
"2014","Portugal","Number","Total","Total","Total","Master's or equivalent level","121,096",""
"2014","Portugal","Number","Total","Total","Total","Doctoral or equivalent level","20,245",""
"2014","Romania","Number","Total","Total","Total","Bachelor's or equivalent level","377,136",""
"2014","Romania","Number","Total","Total","Total","Master's or equivalent level","181,578",""
"2014","Romania","Number","Total","Total","Total","Doctoral or equivalent level","19,992",""
"2014","Slovenia","Number","Total","Total","Total","Bachelor's or equivalent level","51,092",""
"2014","Slovenia","Number","Total","Total","Total","Master's or equivalent level","23,263",""
"2014","Slovenia","Number","Total","Total","Total","Doctoral or equivalent level","3,016",""
"2014","Slovakia","Number","Total","Total","Total","Bachelor's or equivalent level","113,149",""
"2014","Slovakia","Number","Total","Total","Total","Master's or equivalent level","71,720",""
"2014","Slovakia","Number","Total","Total","Total","Doctoral or equivalent level","10,009",""
"2014","Finland","Number","Total","Total","Total","Bachelor's or equivalent level","223,519",""
"2014","Finland","Number","Total","Total","Total","Master's or equivalent level","62,257",""
"2014","Finland","Number","Total","Total","Total","Doctoral or equivalent level","20,283",""
"2014","Sweden","Number","Total","Total","Total","Bachelor's or equivalent level","247,169",""
"2014","Sweden","Number","Total","Total","Total","Master's or equivalent level","135,220",""
"2014","Sweden","Number","Total","Total","Total","Doctoral or equivalent level","21,590",""
"2014","United Kingdom","Number","Total","Total","Total","Bachelor's or equivalent level","1,532,677",""
"2014","United Kingdom","Number","Total","Total","Total","Master's or equivalent level","423,518",""
"2014","United Kingdom","Number","Total","Total","Total","Doctoral or equivalent level","111,395",""
"2014","Iceland","Number","Total","Total","Total","Bachelor's or equivalent level","13,975",""
"2014","Iceland","Number","Total","Total","Total","Master's or equivalent level","4,892",""
"2014","Iceland","Number","Total","Total","Total","Doctoral or equivalent level","491",""
"2014","Liechtenstein","Number","Total","Total","Total","Bachelor's or equivalent level","468",""
"2014","Liechtenstein","Number","Total","Total","Total","Master's or equivalent level","243",""
"2014","Liechtenstein","Number","Total","Total","Total","Doctoral or equivalent level","119",""
"2014","Norway","Number","Total","Total","Total","Bachelor's or equivalent level","186,971",""
